Umean,Umax,Umed,Tstart,Ttotal,Dtotal,Dispmed,dEmax,Iswim,Ibike,Turnsmed,Turnsmin,Turnsmean,Grademed,Activity,Athlete,FileID
6.343540372,18.32002073,6.270945183,9.163333333,3.403055557,75010.49391,1078.921796,713.8,0,0,0.409850516,0.090363119,0.491854831,0.041909858,ride,Adam,20120303-170939
4.288461909,9.803755894,4.280320748,10.83,3.19416667,47190.21669,1078.153807,359.9,0,0,0.60691709,0.188497286,0.554547516,0.033874025,ride,Adam,20120304-184942
7.243254036,86.91901543,7.073012943,8.829166666,3.827777781,97901.15025,1202.515834,627.7,0,0,0.411765455,0.114228738,0.507776223,0.035853048,ride,Adam,20120310-164941
6.78284452,16.12115926,7.03061983,9.234999999,2.078611108,51845.37944,1749.082436,486.5,0,0,0.512657508,0.04848541,0.510013698,0.026970647,ride,Adam,20120317-171404
7.599420908,13.5562763,7.964684719,16.42083333,2.068333332,59288.38695,1314.009374,107.6,0,0,0.291989531,0.072215095,0.385566337,0.010095675,ride,Adam,20120410-002514
6.611210188,20.93103117,6.39440129,7.558888888,4.241666665,96087.04325,1285.995134,764.1,0,0,0.556670282,0.102452622,0.517403585,0.038399205,ride,Adam,20120414-153331
6.002444443,13.92225719,5.812030856,17.42277778,1.873888889,40078.56702,1587.125803,261.9,0,0,0.595397032,0.146678116,0.609647884,0.020605718,ride,Adam,20120418-012516
7.775970507,20.58987313,7.499444469,8.15,3.351666665,93312.69984,2306.649978,367.7,0,0,0.730053552,0.275366415,0.657346527,0.024484063,ride,Adam,20120421-160858
6.777433919,34.17447982,6.417451264,12.35333333,3.58694444,80717.81951,1355.633302,854.3,0,0,0.598000871,0.103248008,0.552951977,0.044531611,ride,Adam,20120422-202110
8.968337038,13.70569144,9.619765252,8.622222221,0.575833334,18631.28897,2063.14812,15.4,0,0,0.641001628,0.493476948,0.672499419,0.012426645,ride,Adam,20120427-163714
7.61419621,28.27386239,7.980294999,7.0575,3.508888895,97777.16614,2604.894765,203.9,0,0,0.794744152,0.21426172,0.700305613,0.015504847,ride,Adam,20120428-150323
8.408258317,15.36606265,9.041245164,15.77194444,1.552222227,48203.59278,1772.716133,158.2,0,0,0.548540894,0.255871665,0.530505949,0.016351741,ride,Adam,20120429-234614
8.833148917,29.01279808,8.728952776,7.688611111,2.813055555,88299.58294,1668.66128,289.3,0,0,0.443984648,0.048826239,0.456434636,0.0278782,ride,Adam,20120505-154118
6.511831202,11.88324135,6.954611284,11.02166666,0.864166673,21252.01505,2725.01534,17.3,0,0,0.605476292,0.143080928,0.573055672,0.005076189,ride,Adam,20120509-190111
7.231379593,21.0653826,6.81489047,6.849166665,5.300833337,129586.9627,1131.364548,731.4,0,0,0.461646549,0.093882766,0.468245342,0.035989428,ride,Adam,20120512-145052
6.197371468,87.58318739,5.737452803,8.921944443,3.821666661,76891.01463,1076.35629,510.7,0,0,0.419927562,0.146663499,0.492393948,0.034220456,ride,Adam,20120519-165518
5.270759104,19.25639754,3.954988099,9.406944444,3.546944442,60414.06706,1137.948424,637.5,0,0,0.497445106,0.072907182,0.516091191,0.050233627,ride,Adam,20120520-172424
8.632578157,12.39285138,9.23655209,8.818055553,0.282222223,9299.206039,3002.594706,9.4,0,0,0.65976525,0.65976525,0.65976525,0.004929659,ride,Adam,20120521-164901
7.896183397,11.13256618,8.761580283,18.86472222,0.31666667,9353.120922,3267.621502,8.3,0,0,0.724846947,0.574710422,0.724846947,0.005662829,ride,Adam,20120522-025147
8.352173081,12.0172604,9.247665144,9.024444443,0.291388887,9284.923512,3006.643743,10,0,0,0.674742331,0.659514852,0.674742331,0.004913986,ride,Adam,20120522-170121
7.756784424,11.70511759,8.19935158,18.93527778,0.320277776,9346.421318,3279.987248,10.3,0,0,0.767008028,0.648157318,0.767008028,0.006253549,ride,Adam,20120523-025603
9.009874944,11.46851552,9.539202429,8.961388889,0.275277777,9316.141377,3068.618268,9.6,0,0,0.656941228,0.656941228,0.656941228,0.00447305,ride,Adam,20120523-165736
8.181735031,11.33372655,8.740685294,19.1375,0.303055555,9330.006144,3279.056178,8.9,0,0,0.733550903,0.584589436,0.733550903,0.005220665,ride,Adam,20120524-030811
8.377115035,11.71888776,9.237894231,9.115277776,0.293055553,9314.593354,3121.648481,9.7,0,0,0.673893918,0.655666446,0.673893918,0.005134759,ride,Adam,20120524-170650
7.814661574,10.29738379,8.235050617,18.9525,0.323611113,9343.312942,3265.453031,8.6,0,0,0.7302733,0.580361332,0.7302733,0.00605874,ride,Adam,20120525-025704
7.001554087,21.00474177,6.467032794,8.357777777,5.535277784,130326.3505,1605.858395,928.8,0,0,0.477686392,0.077887471,0.497799282,0.042749828,ride,Adam,20120527-162123
7.768278396,15.32132959,7.830672535,7.612777778,2.551666662,71932.39384,3319.313281,148.3,0,0,0.786931103,0.169084943,0.77035714,0.016931464,ride,Adam,20120528-153644
8.078106575,11.3804507,8.951288825,8.799444443,0.300000002,9313.240651,3027.722457,9.2,0,0,0.673110211,0.657441701,0.673110211,0.004556815,ride,Adam,20120529-164753
8.138006728,11.14331514,8.634588064,18.58444444,0.303333331,9335.446649,3283.158741,8.2,0,0,0.711611146,0.565598887,0.711611146,0.00584346,ride,Adam,20120530-023500
8.671150234,12.16155935,9.398034895,8.991944443,0.284166668,9314.604662,3233.467072,9.6,0,0,0.678335716,0.678335716,0.678335716,0.005738532,ride,Adam,20120530-165926
8.269697841,11.19757952,8.771485162,19.05111111,0.302499999,9357.569906,3269.821229,9.2,0,0,0.71661183,0.561483591,0.71661183,0.006128329,ride,Adam,20120531-030303
8.274846236,11.97794557,9.044421858,8.914444445,0.293055553,9328.272084,3012.54204,9.1,0,0,0.673178045,0.659102925,0.673178045,0.004682101,ride,Adam,20120605-165447
8.067773744,11.72106422,8.476542946,19.18611111,0.311666664,9360.126998,3268.082174,9.8,0,0,0.727828255,0.586757884,0.727828255,0.00527135,ride,Adam,20120606-031106
9.022743903,11.90727807,9.62852529,9.049444444,0.273611111,9294.062737,3133.804444,9.7,0,0,0.672608963,0.672608963,0.672608963,0.004816902,ride,Adam,20120606-170253
8.465768009,12.23395819,9.074874192,18.65638889,0.298888888,9353.580745,3274.945597,10.4,0,0,0.72133348,0.559945156,0.72133348,0.005251037,ride,Adam,20120607-023919
7.396019633,20.6051277,7.114873533,7.593611109,3.890277774,102201.1579,1722.158689,367.8,0,0,0.648130698,0.12861478,0.579260156,0.02600081,ride,Adam,20120609-153534
5.776174244,17.81728241,4.56245535,9.611388889,3.08583334,57104.1696,1328.31425,840.9,0,0,0.557978132,0.175211185,0.54712654,0.051830924,ride,Adam,20120610-173634
8.194936479,11.54565068,8.958287115,8.958055554,0.293333335,9301.94731,3092.541554,9.6,0,0,0.671349354,0.652764756,0.671349354,0.004989736,ride,Adam,20120611-165725
8.291712205,11.8968535,8.618062426,20.37416667,0.307222224,9477.130447,4035.603079,10.4,0,0,0.832593526,0.832593526,0.832593526,0.006375021,ride,Adam,20120612-042224
8.829092466,12.05528722,9.443988927,8.973333333,0.280000001,9282.316624,3021.799096,9.8,0,0,0.662157579,0.662157579,0.662157579,0.004927634,ride,Adam,20120612-165820
8.253988323,11.68175505,8.755166363,20.26111111,0.305277776,9476.571216,3314.574589,9.7,0,0,0.732475512,0.599332566,0.732475512,0.005577244,ride,Adam,20120613-041536
8.397663608,12.70529942,9.108585127,9.155,0.294999998,9302.727096,3118.816337,10,0,0,0.671322983,0.656126581,0.671322983,0.005044689,ride,Adam,20120614-170913
8.84117354,12.65229395,9.149031278,20.66305556,0.289722224,9468.055545,4040.121827,10.4,0,0,0.850249704,0.850249704,0.850249704,0.005881392,ride,Adam,20120615-043943
6.507225726,20.08487854,5.602508485,6.132499999,8.537499977,185483.245,1204.835475,812.9,0,0,0.470661807,0.074205899,0.455493014,0.040636036,ride,Adam,20120616-140753
8.517020546,11.49588775,9.274246884,8.702499999,0.286944441,9308.959307,3047.146055,9.7,0,0,0.658795767,0.658795767,0.658795767,0.004970164,ride,Adam,20120618-164206
8.18544941,11.70776057,9.051801221,19.14388889,0.303888886,9385.150743,3291.751742,10.6,0,0,0.745672001,0.611783954,0.745672001,0.005456061,ride,Adam,20120619-030837
8.536169197,11.80944369,9.309668943,8.389444442,0.284166668,9298.825991,3129.033575,9.7,0,0,0.677809717,0.663697168,0.677809717,0.004736617,ride,Adam,20120621-162318
8.138161517,11.29007408,8.704224819,19.53111111,0.307499995,9369.23828,3271.31988,9.7,0,0,0.757643773,0.620806025,0.757643773,0.005789107,ride,Adam,20120622-033148
8.562168287,12.42447457,9.440017687,8.640833331,0.285000002,9297.624648,3103.063963,9.2,0,0,0.672162202,0.669764641,0.672162202,0.004612771,ride,Adam,20120622-163822
8.384482182,11.68508261,9.060570978,18.01916667,0.298055554,9356.468976,3275.522661,9.3,0,0,0.741802079,0.604498341,0.741802079,0.006127685,ride,Adam,20120623-020105
8.466750938,12.91099492,9.116329649,9.11472222,0.286388889,9322.029521,3085.478081,9.3,0,0,0.669706854,0.655192785,0.669706854,0.005219304,ride,Adam,20120625-170648
8.180942494,11.23787825,8.869945707,19.29777778,0.29916667,9352.273139,3278.534771,8.4,0,0,0.725219991,0.572142932,0.725219991,0.005298033,ride,Adam,20120626-031747
8.746998915,11.79398624,9.686971263,9.098055555,0.284444447,9303.623171,3034.210937,9.5,0,0,0.656815351,0.656815351,0.656815351,0.004821807,ride,Adam,20120626-170548
8.637404,13.3170987,9.054823145,19.79694444,0.289444445,9351.924349,3289.279045,9.8,0,0,0.709266233,0.5698683,0.709266233,0.00564054,ride,Adam,20120627-034748
7.851859857,83.59935258,7.455144546,9.947499999,3.403333336,93963.17608,1940.253791,446.5,0,0,0.550831974,0.212923101,0.5329573,0.027969336,ride,Adam,20120630-175648
8.5658743,23.07824465,9.066847901,12.12861111,2.898888898,88983.84664,409.4665634,512.2,0,0,0.560223178,0.068692365,0.549053645,0.019254462,ride,Adam,20120704-200742
9.761194819,18.61283297,10.05358634,7.767777778,2.543611111,88927.23079,2009.128563,125.4,0,0,0.442998805,0.152360063,0.428136262,0.014387146,ride,Adam,20120715-154556
7.949538985,19.50384366,8.705236168,15.81527778,1.972222226,53019.95043,1951.292849,619.1,0,0,0.634700403,0.183773887,0.560969037,0.025031188,ride,Adam,20120729-234849
5.624607848,19.55158179,4.662475589,6.160277777,6.172499998,109030.8231,939.3716068,615.2,0,0,0.457308749,0.105109254,0.455467689,0.06928921,ride,Adam,20120811-140933
7.059152273,21.96690406,5.701923468,9.332777778,5.651944446,128971.6351,1796.027547,1000.3,0,0,0.685671787,0.083874758,0.601727238,0.042202461,ride,Adam,20120825-171956
7.145243441,16.11410763,7.255398633,6.384999999,6.581388884,161608.3335,1111.948521,1281.9,0,0,0.428246002,0.076446674,0.471053626,0.035562996,ride,Adam,20120901-142301
8.519225588,17.86308789,7.809208967,7.622777777,3.030555555,89906.80418,4400.023081,277.3,0,0,0.736510206,0.088033378,0.698189964,0.022966159,ride,Adam,20120909-153718
6.932635185,22.74372537,5.707343426,7.269444443,5.226666676,118565.0862,1133.377046,875.9,0,0,0.446944825,0.106425472,0.476005195,0.052570656,ride,Adam,20120923-151605
7.091680913,20.60986515,7.086881539,6.766388887,6.321111116,161120.8773,2351.213886,685.2,0,0,0.650625803,0.045283471,0.598724355,0.026699997,ride,Adam,20120929-144554
7.603791551,16.09160129,7.723870958,7.174444444,3.263611112,89041.08859,3084.608087,178.9,0,0,0.785545152,0.402935996,0.732457058,0.015022648,ride,Adam,20121013-151022
9.482563254,17.60000217,9.875663925,14.63416666,0.795000002,27056.22508,569.7512707,19.6,0,0,0.769850773,0.079348259,0.646386788,0,ride,Adam,20121020-223801
8.804548603,12.85827132,9.440424761,15.03916667,0.977500001,32254.36954,2655.549834,15.6,0,0,0.605191733,0.253024622,0.520628033,0.003578435,ride,Adam,20121028-230220
9.826315943,17.99441987,10.47677664,16.47305556,0.487777781,17127.41376,837.2427669,8.2,0,0,0.952428768,0.17851805,0.858454986,0,ride,Adam,20121101-222822
9.390285318,22.8653677,9.421977144,7.113333332,5.293611109,178898.4304,559.8744724,33,0,0,0.663402679,0.011525329,0.636524823,0,ride,Adam,20121103-130646
7.585922606,16.18061292,7.836353347,14.53861111,1.186666665,32194.08651,2364.522384,322.2,0,0,0.697142359,0.494211618,0.681617221,0.018257519,ride,Adam,20121117-223217
3.669269867,15.06253354,2.974022756,8.480555554,1.925833343,22010.80978,556.0690884,686.5,0,0,0.399036554,0.158768979,0.438299325,0.09177766,ride,Adam,20121122-162846
9.031526022,13.45351526,9.599988383,14.00555555,0.957222224,32171.14711,2674.450421,15.7,0,0,0.584588615,0.230083125,0.520586933,0.004117189,ride,Adam,20121123-220015
